CodPessoa,theta,enem_score,acertos,total_itens
8684758,0.415,542,27,45
8684764,-0.76,424,16,45
8684769,0.4,540,33,45
8684777,-0.797,420,15,45
8684778,0.383,538,25,45
8684780,0.163,516,22,45
8684782,-1.34,366,11,45
8684788,-0.88,412,18,45
8684790,-0.996,400,19,45
8684802,-0.507,449,19,45
8684805,-0.778,422,14,45
8684809,0.332,533,30,45
8684811,-1.206,379,18,45
8684828,-0.775,423,18,45
8684844,0.158,516,24,45
8684852,-0.271,473,23,45
8684862,0.345,534,24,45
8684875,-1.214,379,15,45
8684907,-0.445,456,17,45
8684909,-1.246,375,15,45
8684913,-1.158,384,13,45
8684925,0.326,533,25,45
8684940,0.301,530,32,45
8684952,-1.56,344,12,45
8684971,0.377,538,23,45
8684976,-1.754,325,13,45
8684980,-0.579,442,20,45
8684990,-0.932,407,12,45
8685004,0.355,536,25,45
8685007,-1.131,387,14,45
8685014,-1.185,382,14,45
8685074,-0.428,457,20,45
8685075,-1.385,362,13,45
8685077,-0.34,466,19,45
8685081,-0.279,472,26,45
8685179,0.458,546,25,45
8685239,-1.333,367,12,45
8685240,-1.132,387,15,45
8685244,-1.117,388,16,45
8685245,-3.065,194,8,45
8685246,-1.584,342,14,45
8685256,-0.175,483,21,45
8685257,-0.863,414,16,45
8685258,-1.277,372,13,45
8685272,-0.095,491,20,45
8685295,-1.013,399,16,45
8685300,-0.277,472,18,45
8685337,-1.716,328,8,45
8685391,0.552,555,33,45
8685406,0.279,528,28,45
8685415,-0.983,402,19,45
8685480,-1.486,351,13,45
8685484,-0.047,495,26,45
8685497,-0.573,443,21,45
8685510,-1.035,396,19,45
8685696,-0.831,417,18,45
8685703,0.392,539,29,45
8685802,-0.322,468,32,45
8685878,-2.713,229,7,45
8685880,-1.289,371,15,45
8686051,-0.273,473,23,45
8686327,0.277,528,25,45
8687539,-1.36,364,11,45
8687550,-1.296,370,13,45
8687553,-0.619,438,23,45
8687564,-2.76,224,7,45
8687574,-1.335,367,11,45
8687578,-1.771,323,8,45
8687580,-0.943,406,12,45
8687584,-1.276,372,17,45
8687640,0.226,523,32,45
8687647,0.229,523,27,45
8687701,0.79,579,32,45
8687702,-0.702,430,17,45
8687898,-1.013,399,11,45
8688043,0.352,535,35,45
8688260,-0.578,442,17,45
8688265,-0.993,401,15,45
8688376,-0.398,460,28,45
8688495,-1.323,368,16,45
8688674,-1.188,381,13,45
8688807,-0.706,429,17,45
8688811,-1.409,359,12,45
8688815,-0.523,448,12,45
8688821,-0.951,405,15,45
8688827,-1.014,399,19,45
8688829,-0.726,427,13,45
8688832,-0.958,404,15,45
8688870,-1.136,386,13,45
8688878,-2.344,266,8,45
8688879,-0.904,410,20,45
8688880,-0.783,422,18,45
8688881,-1.517,348,11,45
8688942,0.422,542,36,45
8689264,0.61,561,32,45
8689358,0.695,570,38,45
8689410,-0.008,499,28,45
8689577,-0.734,427,18,45
8689580,-1.299,370,12,45
8690032,-0.039,496,18,45
8690045,-0.763,424,20,45
8690095,-1.173,383,12,45
8690146,-1.467,353,12,45
8690156,-4.0,100,0,45
8690159,-0.547,445,20,45
8690373,-1.814,319,11,45
8690495,-0.96,404,14,45
8690512,-1.294,371,11,45
8690782,0.694,569,31,45
8690917,-0.906,409,13,45
8690928,-1.067,393,13,45
8690934,-1.295,371,12,45
8690936,0.826,583,32,45
8690939,-0.118,488,29,45
8690947,-1.669,333,11,45
8690953,0.252,525,28,45
8691023,0.562,556,36,45
8691131,3.372,837,39,45
8691145,0.482,548,35,45
8691245,-1.291,371,11,45
8691249,-1.478,352,9,45
8691264,-4.0,100,0,45
8691300,-1.051,395,14,45
8691303,1.037,604,32,45
8691322,-1.237,376,13,45
8691335,-0.976,402,13,45
8691346,0.443,544,34,45
8691349,-0.642,436,22,45
8691391,0.425,543,35,45
8691393,0.364,536,32,45
8691400,-0.326,467,16,45
8691403,0.671,567,36,45
8691406,0.239,524,29,45
8691407,-0.369,463,29,45
8691409,0.099,510,28,45
8691410,-0.986,401,15,45
8691413,2.829,783,38,45
8691422,0.493,549,35,45
8691423,0.569,557,35,45
8691424,0.436,544,36,45
8691427,2.781,778,37,45
8691433,-4.0,100,0,45
8691658,-1.52,348,9,45
8691744,-1.752,325,13,45
8691816,0.352,535,35,45
8691859,-1.082,392,19,45
8691976,0.616,562,34,45
8692010,-0.67,433,22,45
8692115,-0.583,442,13,45
8692121,0.513,551,32,45
8692219,-0.316,468,23,45
8692404,0.294,529,30,45
8692408,-0.813,419,15,45
8692448,-0.498,450,19,45
8692613,2.781,778,37,45
8692619,2.985,798,39,45
8692621,2.781,778,37,45
8692654,-1.376,362,15,45
8692716,-1.496,350,12,45
8692748,0.38,538,31,45
8692828,-1.263,374,13,45
8692863,-0.514,449,19,45
8692921,-2.075,293,11,45
8692994,-1.08,392,13,45
8693013,-1.023,398,15,45
8693029,-1.25,375,17,45
8693087,-0.446,455,26,45
8693105,0.511,551,31,45
8693142,-1.403,360,14,45
8693152,-2.019,298,10,45
8693154,0.322,532,31,45
8693213,0.614,561,33,45
8693260,-0.981,402,19,45
8693375,0.632,563,34,45
8693447,-0.485,451,20,45
8693561,0.701,570,37,45
8693619,0.384,538,29,45
8693627,-0.355,465,21,45
8693628,0.23,523,30,45
8693643,0.434,543,36,45
8693744,-0.958,404,20,45
8693758,-1.433,357,12,45
8693791,-0.824,418,14,45
8693960,0.127,513,22,45
8694408,0.157,516,28,45
8694456,0.615,561,33,45
8694530,-1.25,375,17,45
8694555,-0.797,420,13,45
8694637,0.666,567,37,45
8694661,-1.78,322,7,45
8694667,-1.071,393,17,45
8694899,0.226,523,30,45
8694952,0.29,529,24,45
8694954,0.279,528,30,45
8694958,-0.533,447,23,45
8695227,-1.286,371,12,45
8695336,-1.346,365,13,45
8695387,-1.046,395,17,45
8695397,-1.986,301,9,45
8695457,0.666,567,38,45
8695474,-1.308,369,10,45
8695476,-0.782,422,21,45
8695479,0.277,528,28,45
8695527,-1.145,385,12,45
8695529,-0.788,421,18,45
8695558,0.506,551,31,45
8695632,0.528,553,26,45
8695655,-0.733,427,17,45
8695656,0.219,522,26,45
8695659,0.109,511,25,45
8695663,-0.551,445,15,45
8695665,-0.262,474,22,45
8695666,-0.571,443,20,45
8695667,0.282,528,23,45
8695680,-1.165,383,14,45
8695722,-1.29,371,13,45
8695726,-0.635,437,23,45
8695729,-1.27,373,15,45
8695730,-0.656,434,15,45
8695732,-1.291,371,13,45
8695733,-1.656,334,12,45
8695743,-0.823,418,16,45
8695781,-0.249,475,21,45
8695787,-1.093,391,13,45
8696036,-1.284,372,15,45
8696044,-1.207,379,15,45
8696187,0.36,536,30,45
8696222,-0.815,419,21,45
8696232,-1.194,381,13,45
8696258,0.258,526,32,45
8696260,0.668,567,37,45
8696361,-0.258,474,21,45
8696419,-0.556,444,19,45
8696452,-1.396,360,12,45
8696485,2.589,759,35,45
8696527,-1.497,350,10,45
8696589,-0.907,409,16,45
8696623,-0.719,428,14,45
8696653,0.762,576,25,45
8696828,-1.997,300,10,45
8696895,-0.627,437,17,45
8696935,-1.511,349,10,45
8697009,-0.908,409,11,45
8697049,-4.0,100,0,45
8697191,-1.272,373,12,45
8697219,3.294,829,38,45
8697236,-1.254,375,16,45
8697260,-1.23,377,17,45
8697350,0.634,563,33,45
8697376,0.647,565,34,45
8697445,0.133,513,27,45
8697452,0.293,529,28,45
8697454,0.34,534,26,45
8697659,0.202,520,29,45
8697712,-0.881,412,16,45
8697750,-0.745,426,19,45
8697797,-4.0,100,4,45
8697840,0.257,526,26,45
8697849,-4.0,100,2,45
8697984,-1.141,386,12,45
8698054,-1.202,380,16,45
8698140,-0.787,421,15,45
8698212,-1.152,385,17,45
8698246,-0.147,485,26,45
8698362,-1.625,338,11,45
8698384,2.781,778,37,45
8698386,2.781,778,37,45
8698393,0.427,543,35,45
8698494,-0.284,472,24,45
8698544,-0.119,488,28,45
8698558,-2.079,292,13,45
8698560,0.428,543,35,45
8698567,0.222,522,33,45
8698607,-1.516,348,10,45
8698608,-1.542,346,10,45
